,data,DATA,HORA
376,2022-01-22 11:15:00.000,2022-01-31,21:41:59.999
377,2022-01-22 15:05:59.999,2022-01-31,21:41:59.999
378,2022-01-22 15:16:00.000,2022-01-31,21:41:59.999
379,2022-01-22 15:59:59.999,2022-01-31,21:41:59.999
380,2022-01-22 16:10:00.000,2022-01-31,21:41:59.999
381,2022-01-22 17:20:00.000,2022-01-31,21:41:59.999
382,2022-01-22 17:40:00.000,2022-01-31,21:41:59.999
383,2022-01-22 18:14:59.999,2022-01-31,21:41:59.999
384,2022-01-22 18:50:59.999,2022-01-31,21:41:59.999
385,2022-01-23 01:38:00.000,2022-01-31,21:41:59.999
388,2022-01-23 03:14:00.000,2022-01-31,21:41:59.999
389,2022-01-23 04:12:00.000,2022-01-31,21:41:59.999
390,2022-01-23 14:56:00.000,2022-01-31,21:41:59.999
391,2022-01-23 20:31:00.000,2022-01-31,21:41:59.999
392,2022-01-23 22:10:00.000,2022-01-31,21:41:59.999
393,2022-01-24 03:21:59.999,2022-01-31,21:41:59.999
394,2022-01-24 04:30:00.000,2022-01-31,21:41:59.999
395,2022-01-24 05:05:00.000,2022-01-31,21:41:59.999
397,2022-01-24 06:01:00.000,2022-01-31,21:41:59.999
398,2022-01-24 06:03:59.999,2022-01-31,21:41:59.999
399,2022-01-24 06:07:00.000,2022-01-31,21:41:59.999
400,2022-01-24 08:52:00.000,2022-01-31,21:41:59.999
401,2022-01-24 09:39:00.000,2022-01-31,21:41:59.999
402,2022-01-24 10:53:59.999,2022-01-31,21:41:59.999
403,2022-01-24 12:03:00.000,2022-01-31,21:41:59.999
404,2022-01-24 14:42:00.000,2022-01-31,21:41:59.999
407,2022-01-24 15:50:00.000,2022-01-31,21:41:59.999
408,2022-01-24 16:04:00.000,2022-01-31,21:41:59.999
409,2022-01-24 17:58:00.000,2022-01-31,21:41:59.999
412,2022-01-24 20:15:00.000,2022-01-31,21:41:59.999
413,2022-01-24 21:05:59.999,2022-01-31,21:41:59.999
414,2022-01-24 21:16:00.000,2022-01-31,21:41:59.999
415,2022-01-24 21:19:59.999,2022-01-31,21:41:59.999
416,2022-01-24 21:25:00.000,2022-01-31,21:41:59.999
417,2022-01-24 21:39:59.999,2022-01-31,21:41:59.999
418,2022-01-24 22:53:59.999,2022-01-31,21:41:59.999
419,2022-01-24 23:09:59.999,2022-01-31,21:41:59.999
420,2022-01-24 23:18:00.000,2022-01-31,21:41:59.999
421,2022-01-24 23:43:00.000,2022-01-31,21:41:59.999
422,2022-01-24 23:52:59.999,2022-01-31,21:41:59.999
423,2022-01-24 23:59:00.000,2022-01-31,21:41:59.999
424,2022-01-25 04:08:00.000,2022-01-31,21:41:59.999
425,2022-01-25 14:00:00.000,2022-01-31,21:41:59.999
426,2022-01-25 17:33:00.000,2022-01-31,21:41:59.999
427,2022-01-25 17:54:00.000,2022-01-31,21:41:59.999
428,2022-01-25 19:42:00.000,2022-01-31,21:41:59.999
429,2022-01-25 20:58:00.000,2022-01-31,21:41:59.999
430,2022-01-26 00:26:00.000,2022-01-31,21:41:59.999
431,2022-01-26 07:46:00.000,2022-01-31,21:41:59.999
433,2022-01-26 08:50:00.000,2022-01-31,21:41:59.999
434,2022-01-26 11:32:00.000,2022-01-31,21:41:59.999
